ticker,name_x,search_query
INCO,INTEL CORPORATION CORP,intel
WB,WACHOVIA CORP.,wachovia
GOOGL,GOOGLE INC CLASS A,google
BLS,BELLSOUTH CORPORATION,bellsouth
MER,MERRILL LYNCH & CO. INC.,merrill lynch
WYE,WYETH,wyeth
DELL,DELL INC.,dell
ANTM,WELLPOINT INC,wellpoint
NCRA,NEWS CORP. CL A,news cl
WAMUQ,WASHINGTON MUTUAL CORP,washington mutual
LEHMQ,LEHMAN BROTHERS HOLDINGS INC.,lehman brothers holdings
DNA,GENENTECH INC.,genentech
AABA,ALTABA INC,altaba
ALD,HONEYWELL INTERNATIONAL INC,honeywell international
TXU,TXU CORPORATION,txu
BNI,BURLINGTON NORTHERN,burlington northern
MON,MONSANTO,monsanto
CMX,CAREMARK RX INC.,caremark rx
TFC,TRUIST FINANCIAL CORP,truist financial
VIAB,VIACOM INC CLASS B,viacom
AT.,ALLTEL CORP.,alltel
CB,CHUBB CORP,chubb
CFC,COUNTRYWIDE FINANCIAL CORP.,countrywide financial
NCC,NATIONAL CITY CORP.,national city
GDW,GOLDEN WEST FINANCIAL CORPORATION,golden west financial
HCA.2,HCA INC.,hca
MHS,MEDCO HEALTH SOLUTIONS INC,medco health solutions
GENZ,GENZYME CORP.,genzyme
JAVA,SUN MICROSYSTEMS,sun microsystems
PD,PHELPS DODGE CORPORATION,phelps dodge
BSC.1,BEAR STEARNS COMPANIES,bear stearns companies
FRX,FOREST LABORATORIES INC,forest laboratories
MEL,MELLON FINANCIAL CORP.,mellon financial
CPPRQ,OLD COPPER INC,old copper
DTV,DIRECTV GROUP INC.,directv group
MTLQQ,MOTORS LIQUIDATION CO,motors liquidation
FSL.B,FREESCALE SEMICONDUCTOR INC. CL B,freescale semiconductor cl
XTO,XTO ENERGY INC,xto energy
EOP,EQUITY OFFICE PROPERTIES TRUST,equity office properties
CCU.1,CLEAR CHANNEL COMMUNICATIONS INC.,clear channel communications
HNZ,H.J. HEINZ CO.,heinz
IGT,INTERNATIONAL GAME TECHNOLOGY,international game technology
SCN,PROLOGIS,prologis
JCI,JOHNSON CONTROLS INC,johnson controls
BRCM,BROADCOM CORP CLASS A,broadcom
QWST,QWEST COMMUNICATIONS INTERNATIONAL,qwest communications international
SWY,SAFEWAY INC,safeway
TGNA,GANNETT CO INC,gannett
NFB,NORTH FORK BANCORPORATION INC.,north fork bancorporation
EDS.,ELECTRONIC DATA SYSTEMS CORP.,electronic data systems
STJ,ST JUDE MEDICAL,st jude medical
HOT,STARWOOD HOTELS & RESORTS WORLDWID,starwood hotels resorts worldwid
HET,HARRAHS ENTERTAINMENT CORP.,harrahs entertainment
SLE,SARA LEE CORP.,sara lee
MI,MARSHALL & ILSLEY CORP. (OLD),marshall ilsley old
LCAPA,LIBERTY MEDIA CORP,liberty media
NYX,NYSE EURONEXT,nyse euronext
ASN,ARCHSTONE-SMITH TRUST,archstone smith
PGN,PROGRESS ENERGY INC.,progress energy
KMI.1,KINDER MORGAN INC.,kinder morgan
FO,FORTUNE BRANDS INC,fortune brands
WWY,WM WRIGLEY JR. CO.,wm wrigley jr
HLT,HILTON HOTELS CORP.,hilton hotels
CEG,CONSTELLATION ENERGY GROUP INC.,constellation energy group
LU,LUCENT TECHNOLOGIES INC.,lucent technologies
ASO.1,AMSOUTH BANCORPORATION,amsouth bancorporation
FSH,FISHER SCIENTIFIC INTERNATIONAL IN,fisher scientific international in
EP,EL PASO CORP.,el paso
BJS,BJ SERVICES CO,bj services
MUR,MURPHY OIL CORP,murphy oil
UST.1,UST INC.,ust
SOV,SOVEREIGN BANCORP INC.,sovereign bancorp
SII,SMITH INTERNATIONAL,smith international
CVH,COVENTRY HEALTH CARE INC,coventry health care
MIR,MIRANT CORP,mirant
GGP,GENERAL GROWTH PROPERTIES INC.,general growth properties
NSM.2,NATIONAL SEMICONDUCTOR CORP,national semiconductor
BMET,BIOMET INC.,biomet
WEN.2,WENDYS INTERNATIONAL INC.,wendys international
HCBK,HUDSON CITY BANCORP INC,hudson city bancorp
ROH,ROHM & HAAS CO.,rohm haas
ASD,AMERICAN STANDARD COS INC,american standard cos
VMED,VIRGIN MEDIA INC,virgin media
UVN,UNIVISION COMMUNICATIONS INC.,univision communications
CBSS,COMPASS BANCSHARES,compass bancshares
FNF.1,FIDELITY NATIONAL FINANCIAL INC.,fidelity national financial
MEDI,MEDIMMUNE INC.,medimmune
EQ,EMBARQ CORP.,embarq
KSE,KEYSPAN CORPORATION,keyspan
SAF,SAFECO CORP,safeco
STR,QUESTAR CORP,questar
CBH,COMMERCE BANCORP NJ,commerce bancorp nj
ALTR,ALTERA CORP,altera
AYE,ALLEGHENY ENERGY,allegheny energy
CTX,CENTEX CORP.,centex
BOT,CBOT HOLDINGS CL A,cbot holdings cl
ABI,APPLERA CORP-APPLIED BIOSYSTEMS,applera applied biosystems
BDK,THE BLACK & DECKER CORPORATION,the black decker
HSP,HOSPIRA INC,hospira
BEAS,BEA SYSTEMS,bea systems
ACS,AFFILIATED COMPUTER SERVICES INC.,affiliated computer services
BMC,BMC SOFTWARE INC.,bmc software
MIK,MICHAELS STORES INC.,michaels stores
H.4,REALOGY CORPORATION,realogy
CAM,CAMERON INTERNATIONAL CORP,cameron international
BRL,BARR PHARMACEUTICALS INC.,barr pharmaceuticals
LYO,LYONDELL CHEMICAL CO.,lyondell chemical
MOLX,MOLEX INC.,molex
RX,IMS HEALTH INC.,ims health
AV.1,AVAYA INC.,avaya
SEPR,SEPRACOR INC.,sepracor
OCR,OMNICARE INC,omnicare
HMA,HEALTH MANAGEMENT ASSOCIATES INC C,health management associates
GR,GOODRICH CORP,goodrich
GRP.,GRANT PRIDECO,grant prideco
CVC,CABLEVISION SYSTEMS CORP CLASS A,cablevision systems
TLAB,TELLABS INC.,tellabs
PBG,PEPSI BOTTLING,pepsi bottling
AAMRQ,AMR CORP.,amr
MWV,MEADWESTVACO CORP,meadwestvaco
STAR,ISTAR REIT INC,istar reit
DNB,DUN & BRADSTREET CORP,dun bradstreet
AMLN,AMYLIN PHARMACEUTICALS INC.,amylin pharmaceuticals
JOY,JOY GLOBAL INC,joy global
FDO,FAMILY DOLLAR STORES INC,family dollar stores
MRBK,MERCANTILE BANKSHARES CORPORATION,mercantile bankshares
CCTYQ,CIRCUIT CITY STORES INC,circuit city stores
PDE,PRIDE INTERNATIONAL,pride international
TIN,TEMPLE-INLAND INC,temple inland
CMVT,COMVERSE TECHNOLOGY INC.,comverse technology
PEAK,HEALTHPEAK PROPERTIES INC,healthpeak properties
ALD.1,ALLIED CAPITAL CORP,allied capital
FNP,FIFTH & PACIFIC CO INC,fifth pacific
KG,KING PHARMACEUTICALS,king pharmaceuticals
GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,graham holdings
AGE,A.G. EDWARDS INC.,edwards
JNC,NUVEEN INVESTMENTS,nuveen investments
PTV,PACTIV CORP,pactiv
AHEB GR,ALBERTO-CULVER CO.,alberto culver
PPMIQ,PMI GROUP INC,pmi group
MFE,MCAFEE,mcafee
RMK,ARAMARK CORPORATION,aramark
TRI.Z,TRIAD HOSPITALS INC.,triad hospitals
PETM,PETSMART INC,petsmart
HCR,MANOR CARE INC.,manor care
CBCGQ,COLONIAL BANCGROUP,colonial bancgroup
CEPH,CEPHALON INC,cephalon
SBL,SYMBOL TECHNOLOGIES INC.,symbol technologies
APCC.,AMERICAN POWER CONVERSION CORPORAT,american power conversion corporat
HCC,HCC INSURANCE HOLDINGS INC.,hcc insurance holdings
JNY,JONES GROUP INC,jones group
PPDI,PHARMACEUTICAL PRODUCT DEVELOPMENT,pharmaceutical product development
BEC,BECKMAN COULTER INC.,beckman coulter
CEB,CEB INC,ceb
CDWC,CDW CORPORATION,cdw
UNS1,VIAVI SOLUTIONS INC,viavi solutions
RA.1,RECKSON ASSOCIATES REALTY CORP.,reckson associates realty
ES,NORTHEAST UTILITIES,northeast utilities
NST,NSTAR,nstar
EAS,ENERGY EAST CORP.,energy east
DADE,DADE BEHRING HOLDINGS INC,dade behring holdings
NVLS,NOVELLUS SYSTEMS INC.,novellus systems
DEN,DENBURY INC,denbury
CKFR,CHECKFREE CORP.,checkfree
BMS,BEMIS INC,bemis
PXP,PLAINS EXPLORATION & PRODUCTION CO,plains exploration production
LIFE,LIFE TECHNOLOGIES CORP,life technologies
HPT,HOSPITALITY PROPERTIES TRUST REIT,hospitality properties reit
JEF,JEFFERIES GROUP INC.,jefferies group
LNCR,LINCARE HOLDINGS INC.,lincare holdings
XMSR,XM SATELLITE RADIO HOLDINGS CL A,xm satellite radio holdings cl
MIL.,MILLIPORE CORP,millipore
TE,TECO ENERGY INC,teco energy
LSI,LSI CORP,lsi
ACF,AMERICREDIT,americredit
UB,UNIONBANCAL CORP.,unionbancal
SVM.Z,SERVICEMASTER CO.,servicemaster
HLTH,EMDEON CORP,emdeon
PL,PROTECTIVE LIFE CORP.,protective life
CVD,COVANCE INC.,covance
NVE,NV ENERGY INC.,energy
