ticker,etf,holdings_date,name_x,sector,asset_class,market_value,weight,notional_value,shares,cusip,isin,sedol,price,location,exchange,currency,fx_rate,maturity,name_y,employer_url
INCO,IWV,2006-09-29,INTEL CORPORATION CORP,-,Equity,18858822.84,0.00812771,18858823.0,916812.0,458140100,US4581401001,5923652,20.57,United States,Euronext Amsterdam,USD,1.0,-,,
WB,IWV,2006-09-29,WACHOVIA CORP.,-,Equity,14146304.44,0.00609672,14146304.0,253518.0,929903102,US9299031024,2341860,55.8,United States,New York Stock Exchange Inc.,USD,1.0,-,,
GOOGL,IWV,2006-09-29,GOOGLE INC CLASS A,-,Equity,13228136.6,0.00570102,13228137.0,32914.0,-,US38259P5089,B84V7F8,401.9,United States,Spot Regulated Market - Bvb,USD,1.0,-,,
BLS,IWV,2006-09-29,BELLSOUTH CORPORATION,-,Equity,12187768.5,0.0052526399999999,12187769.0,285094.0,079860102,US0798601029,2090601,42.75,United States,New York Stock Exchange Inc.,USD,1.0,-,,
MER,IWV,2006-09-29,MERRILL LYNCH & CO. INC.,-,Equity,11358639.08,0.00489531,11358639.0,145214.0,590188108,US5901881087,2580986,78.22,United States,New York Stock Exchange Inc.,USD,1.0,-,,
WYE,IWV,2006-09-29,WYETH,-,Equity,10785502.64,0.0046483,10785503.0,212146.0,983024100,US9830241009,2027104,50.84,United States,New York Stock Exchange Inc.,USD,1.0,-,,
DELL,IWV,2006-09-29,DELL INC.,-,Equity,8305583.28,0.00357951,8305583.0,363642.0,24702R101,US24702R1014,2261526,22.84,United States,NASDAQ,USD,1.0,-,,
ANTM,IWV,2006-09-29,WELLPOINT INC,-,Equity,7741675.78,0.00333648,7741676.0,100476.0,94973V107,US94973V1070,2794743,77.05,United States,New York Stock Exchange Inc.,USD,1.0,-,,
NCRA,IWV,2006-09-29,NEWS CORP. CL A,-,Equity,7131672.75,0.00307358,7131673.0,362935.0,65248E104,US65248E1047,B03DQ41,19.65,United States,NASDAQ,USD,1.0,-,,
WAMUQ,IWV,2006-09-29,WASHINGTON MUTUAL CORP,-,Equity,6583314.17,0.00283725,6583314.0,151445.0,939322103,US9393221034,2942188,43.47,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
LEHMQ,IWV,2006-09-29,LEHMAN BROTHERS HOLDINGS INC.,-,Equity,6234005.6,0.00268671,6234006.0,84403.0,524908100,US5249081002,2510723,73.86,United States,Non-Nms Quotation Service (Nnqs),USD,1.0,-,,
DNA,IWV,2006-09-29,GENENTECH INC.,-,Equity,6084900.6,0.00262245,6084901.0,73578.0,368710406,US3687104063,2439538,82.7,United States,New York Stock Exchange Inc.,USD,1.0,-,,
